pxcor,pycor,pcolor,plabel,plabel-color,name,accessibility,ward-number,density,total0,total00,b51,b52,b53,b54,b55,b201,b202,b203,b204,b205,b501,b502,b503,b504,b505,b1001,b1002,b1003,b1004,b1005,b5001,b5002,b5003,b5004,b5005,s51,s52,s53,s54,s55,s201,s202,s203,s204,s205,s501,s502,s503,s504,s505,s1001,s1002,s1003,s1004,s1005,s5001,s5002,s5003,s5004,s5005
-2,-4,0,,9.9,Coldharbour,6,218,8.5,0.634883721,0.410048622,0.727272727,0.647058824,0.454545455,0,0,0.8,0.785714286,0.5625,0.5,0.444444444,0.941176471,0.761904762,0.75,0.6,0.444444444,0.952380952,0.666666667,0.722222222,0.6,0.421052632,0.761904762,0.714285714,0.684210526,0.791666667,0.823529412,0.318181818,0.52173913,0.3125,0,0,0.48,0.424242424,0.44,0.25,0.28,0.476190476,0.481481481,0.615384615,0.142857143,0.428571429,0.535714286,0.466666667,0.615384615,0.434782609,0.47826087,0.631578947,0.592592593,0.578947368,0.407407407,0.56
-1,-4,0,,9.9,Herne Hill,4,225,9.4,0.580093313,0.408588957,0.642857143,0.571428571,0.576923077,0,0,0.578947368,0.523809524,0.566666667,0.419354839,0.421052632,0.782608696,0.6,0.730769231,0.64516129,0.64516129,0.571428571,0.75,0.652173913,0.619047619,0.714285714,0.68,0.689655172,0.583333333,0.78125,0.6,0.333333333,0.371428571,0.392857143,0.025641026,0,0.418604651,0.4,0.428571429,0.290322581,0.193548387,0.6,0.472222222,0.487804878,0.431818182,0.444444444,0.4,0.5,0.535714286,0.424242424,0.361111111,0.444444444,0.552631579,0.548387097,0.516129032,0.605263158
1,-4,0,,9.9,South Camberwell,3,233,10,0.611987382,0.436619718,0.5,0.652173913,0.5,0.038461538,0.047619048,0.692307692,0.769230769,0.75,0.571428571,0.391304348,0.555555556,0.791666667,0.916666667,0.608695652,0.4,0.735294118,0.709677419,0.551724138,0.806451613,0.5,0.703703704,0.8,0.692307692,0.757575758,0.578947368,0.483870968,0.392857143,0.375,0.096774194,0,0.525,0.3,0.457142857,0.151515152,0.210526316,0.461538462,0.487804878,0.540540541,0.483870968,0.333333333,0.431818182,0.677419355,0.548387097,0.45,0.5,0.545454545,0.553191489,0.6,0.785714286,0.5625
9,-4,0,,9.9,Lewisham Central,6,263,2.285714286,0.512690355,0.45625,0.428571429,0.5,0.166666667,0.2,0,0.5,0.8,0.666666667,0.3,0.153846154,0.833333333,1,0.666666667,0.5,0.555555556,0.5,0.9,0.666666667,0.6,0.571428571,0.6,0.333333333,0.8,0.8,0.833333333,0.4375,0.3,0.153846154,0,0.071428571,0.411764706,0.470588235,0.583333333,0.384615385,0.416666667,0.545454545,0.636363636,0.5,0.583333333,0.391304348,0.666666667,0.666666667,0.6875,0.75,0.421052632,0.461538462,0.666666667,0.5,0.642857143,0.555555556
14,-4,0,,9.9,Eltham West,2,276,1.5,0.633093525,0.461077844,0.333333333,0.090909091,0,0,0,0.857142857,0.75,0.714285714,0,0.25,0.666666667,1,0.666666667,0.916666667,0.833333333,1,0.833333333,1,1,1,1,0.4,1,0.777777778,0.5,0.625,0,0.166666667,0.090909091,0,0.333333333,0.555555556,0.4,0,0.428571429,0.5,0.5,0.571428571,1,0.375,0.333333333,0.75,0.333333333,0.5,0.428571429,0.5,0.625,0.6,0.888888889,1
17,-4,0,,9.9,Eltham North,2,279,0.875,0.443298969,0.338235294,0.222222222,0,0,0,0,0.833333333,0.5,0,0.333333333,0.2,0.25,0.75,1,0.333333333,0.5,0.8,0.666666667,1,0.75,0.5,0.4,0.6,1,0.333333333,0.5,0.571428571,0.142857143,0,0,0,0,0.5,0.142857143,0,0.333333333,0.333333333,0.5,0.6,0.666666667,0.5,0.375,0.166666667,0.5,0.166666667,0.166666667,0.166666667,0.25,0.6,1,0.6
24,-4,0,,9.9,Danson Park,2,299,0.142857143,0.6,0.625,,0,0,0,,1,0,,,,0,1,,1,0.5,,,1,,,1,,,,,,,,,,,,,,1,,,1,,,0,,1,,,1,0,,0.5,
28,-4,0,,9.9,Christchurch,2,300,0.111111111,0.571428571,0.142857143,,,,,,,,,0,,,0.5,1,,1,,,,,,,,1,,,0,0,,,0,,,,,,0,,,0,,,,,,,0,,1,,
-21,-5,0,,9.9,East Sheen,1,395,2.133333333,0.519417476,0.380794702,0.5,0.272727273,0.052631579,0,0,0.75,0.722222222,0.764705882,0.263157895,0.1875,0.888888889,0.523809524,0.555555556,0.733333333,0.6,0.714285714,0.769230769,0.421052632,0.45,0.695652174,0.6875,0.375,0.545454545,0.913043478,0.5,0.5,0.04,0.157894737,0.09375,0,0.310344828,0.409090909,0.545454545,0.129032258,0.344827586,0.6875,0.55,0.4375,0.388888889,0.263157895,0.347826087,0.608695652,0.48,0.526315789,0.25,0.5,0.6,0.533333333,0.464285714,0.65
-17,-5,0,,9.9,West Putney,2,429,2.333333333,0.527777778,0.454935622,0.6,0.428571429,0.222222222,0.333333333,0.125,0.571428571,0.166666667,0.7,0,0.2,0.8,0.8,0.538461538,0.555555556,0.8,0.7,0.666666667,0.9,0.571428571,0.5,0.555555556,0.428571429,0.4,0.875,0.5,0.333333333,0.4,0.272727273,0,0.090909091,0.625,0.25,0.5,0.666666667,0.166666667,0.666666667,0.4,0.333333333,0.333333333,0.4,0.5,0.428571429,0.727272727,0.555555556,0.666666667,0.571428571,0.333333333,0.75,0.769230769,0.7
